7,0,7,twfi75 (小揚揚),[問卦] 台灣有新創大騙局類似的案例嗎,Sun Jul  3 10:42:27 2022
66,8,58,kimura0701 (一天要喝3千cc的水),[問卦] 田馥甄剛剛在開黃腔嗎,Sat Jul  2 23:46:46 2022
20,4,16,McKen (小鮮肉),[問卦] 金曲獎的歌一首都沒聽過該怎麼辦,Sat Jul  2 23:44:30 2022
6,4,2,kll95 (Halflife),[問卦] 牙縫蛀是威力最強的蛀牙嗎,Sun Jul  3 03:36:17 2022
27,0,27,zkowntu (冰楓冷雁),Re,Sat Jul  2 23:32:00 2022
1,10,-9,Lex4193 (3+1?),Re,Sun Jul  3 08:30:36 2022
7,2,5,gishileh (三結義市xx局長下台!),[問卦] 未來直接人造人 能否一次解決所有問題?,Sun Jul  3 11:30:47 2022
2,2,0,yangyy2 (Ian),[問卦] 有辦法開一家所有飲料店熱賣品的店嗎,Sun Jul  3 08:59:10 2022
6,8,-2,ppp123 (3p哥),[問卦] 八年級比七年級優秀許多的八卦？,Sun Jul  3 08:42:42 2022
5,6,-1,KINMENKING (亂世狂刀),Re,Sat Jul  2 23:22:08 2022
5,0,5,matsui1007 (一願夢成真),Re,Sun Jul  3 11:10:00 2022
6,1,5,manhaspen (男人有筆),[問卦] 最萬用的口號是什麼？,Sat Jul  2 23:23:11 2022
6,1,5,orze04 (orz),[問卦] 全家的長榮聯名商品誰在買的?,Sun Jul  3 07:39:53 2022
32,5,27,PPPa (3P),[問卦] 台中的薪資中位數怎那麼低？,Sun Jul  3 09:34:30 2022
16,1,15,cutiehoneyzu (McHilo),[問卦] 在日本住飯店真的很容易撞鬼嗎？？,Sat Jul  2 23:08:24 2022
4,1,3,KennethC (Smith),Re,Sun Jul  3 00:53:05 2022
14,11,3,realtw (realtw良心說 不比臺灣女),Re,Sun Jul  3 09:03:42 2022
13,4,9,hoyumi (正版型男...無誤!!!),[新聞] 陳其邁Po圖讓大家猜猜要去哪裡? 網友歪,Sun Jul  3 00:09:06 2022
13,2,11,deathbead (小艾),[問卦] 被酒駕撞死的法官,Sun Jul  3 09:57:20 2022
6,0,6,eddy12357 (撾撾),[問卦] 球隊的前2大王牌同時轉隊怎麼辦？,Sun Jul  3 05:46:13 2022
2,1,1,qq0101889 (Morning9487),[問卦] 為啥馬念先會被叫做馬尿ㄚ？,Sun Jul  3 00:24:44 2022
4,3,1,aabbcc520 (U質文),[問卦] 我媽打電話來問我股票賠錢有錢吃飯嗎,Sun Jul  3 09:56:21 2022
25,2,23,danielwangdd (迪克),[問卦] 欸欸欸騎機車去宜蘭走哪條路好,Sun Jul  3 03:04:45 2022
2,1,1,xzcb2008 (可愛老娘變態貓貓=.=),Re,Sun Jul  3 10:09:12 2022
23,3,20,pinkowa (pinkowa),[問卦] 前端、後端、運維 這三個會想學哪一個?,Sun Jul  3 08:48:02 2022
213,83,130,lovea (lovea),[問卦] 香港本來就中國的，那當初在撐三小www,Sun Jul  3 10:10:26 2022
2,1,1,micheal59 (Pohan),[問卦] 現在還有在使用吹箭嗎？,Sat Jul  2 23:46:52 2022
